hd,jcd,rno,waku,toban,grade,localWin,motor2
20250721,13,3,4,4145,B1,3.17,42.55
20250721,13,3,5,3282,B1,4.85,42.39
20250721,13,3,6,5404,B2,0.00,35.63
20250721,13,4,1,3350,B1,5.49,41.94
20250721,13,4,2,3072,B1,4.63,31.91
20250721,13,4,3,4710,A2,5.90,29.79
20250721,13,4,4,3931,B2,5.50,47.92
20250721,13,4,5,3392,B1,5.28,43.16
20250721,13,4,6,5243,B1,1.43,31.18
20250721,13,5,1,4973,B1,5.66,21.92
20250721,13,5,2,3955,B1,4.40,30.77
20250721,13,5,3,4839,A1,4.90,20.00
20250721,13,5,4,5336,B2,1.25,22.35
20250721,13,5,5,5047,B1,3.00,22.62
20250721,13,5,6,4718,A2,6.64,24.18
20250721,13,6,1,3792,A1,6.82,25.29
20250721,13,6,2,4346,B1,3.57,30.11
20250721,13,6,3,3615,B1,4.81,34.41
20250721,13,6,4,4583,A2,4.78,23.26
20250721,13,6,5,4615,B1,0.00,20.43
20250721,13,6,6,5403,B2,0.00,20.48
20250721,13,7,1,3963,A2,6.67,37.36
20250721,13,7,2,4656,B1,4.92,25.30
20250721,13,7,3,4079,A2,0.00,42.71
20250721,13,7,4,5014,B1,4.35,24.39
20250721,13,7,5,5375,B2,0.00,34.74
20250721,13,7,6,4329,B1,0.00,29.03
20250721,13,8,1,4710,A2,5.90,29.79
20250721,13,8,2,4145,B1,3.17,42.55
20250721,13,8,3,3931,B2,5.50,47.92
20250721,13,8,4,4945,B1,6.18,52.13
20250721,13,8,5,5404,B2,0.00,35.63
20250721,13,8,6,4600,A2,5.79,30.43
20250721,13,9,1,4718,A2,6.64,24.18
20250721,13,9,2,3282,B1,4.85,42.39
20250721,13,9,3,3392,B1,5.28,43.16
20250721,13,9,4,3072,B1,4.63,31.91
20250721,13,9,5,3955,B1,4.40,30.77
20250721,13,9,6,4404,B1,3.86,38.54
20250721,13,10,1,5243,B1,1.43,31.18
20250721,13,10,2,4973,B1,5.66,21.92
20250721,13,10,3,4790,A2,5.65,8.70
20250721,13,10,4,4522,A1,7.89,20.69
20250721,13,10,5,3792,A1,6.82,25.29
20250721,13,10,6,4732,A1,0.00,27.66
20250721,13,11,1,4839,A1,4.90,20.00
20250721,13,11,2,4583,A2,4.78,23.26
20250721,13,11,3,3350,B1,5.49,41.94
20250721,13,11,4,4079,A2,0.00,42.71
20250721,13,11,5,3788,B1,4.89,28.26
20250721,13,11,6,4934,A1,5.14,30.43
20250721,13,12,1,4066,A1,4.67,43.96
20250721,13,12,2,4953,A1,7.41,46.24
20250721,13,12,3,4544,A1,7.41,37.36
20250721,13,12,4,4264,A1,7.21,39.56
20250721,13,12,5,4983,A1,6.75,38.71
20250721,13,12,6,4080,A1,0.00,27.16
20250722,12,1,1,3690,B1,5.13,23.81
20250722,12,1,2,4273,B1,4.08,41.94
20250722,12,1,3,5002,A1,0.00,49.09
20250722,12,1,4,5000,B1,6.06,58.21
20250722,12,1,5,4202,B1,4.64,22.22
20250722,12,1,6,4175,B1,0.00,18.18
20250722,12,2,1,4834,B1,4.56,31.25
20250722,12,2,2,4557,A2,5.33,33.33
20250722,12,2,3,4263,A1,5.57,37.88
20250722,12,2,4,4196,B1,7.00,27.69
20250722,12,2,5,3563,B1,5.59,38.46
20250722,12,2,6,4423,B1,3.63,39.68
20250722,12,3,1,5071,B1,0.00,28.57
20250722,12,3,2,4044,A1,6.75,27.42
20250722,12,3,3,4156,A2,6.27,29.03
20250722,12,3,4,4331,B1,5.28,47.62
20250722,12,3,5,5091,A2,4.00,46.77
20250722,12,3,6,4753,B1,0.00,25.81
20250722,12,4,1,4540,B1,5.89,31.82
20250722,12,4,2,4925,A2,5.45,20.63
20250722,12,4,3,4159,A2,7.14,18.18
20250722,12,4,4,4570,A1,6.46,45.16
20250722,12,4,5,3566,B1,5.45,41.79
20250722,12,4,6,4695,B1,0.00,45.45
20250722,12,5,1,4960,A2,6.00,43.75
20250722,12,5,2,4895,B1,4.98,50.00
20250722,12,5,3,4175,B1,0.00,18.18
20250722,12,5,4,3977,B1,4.66,38.71
20250722,12,5,5,4382,B1,4.84,28.13
